listing_id,name,host_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,accommodates (groups)
30458443,"SINGLE ROOM IN AMSTERDAM",67842909,"Apartment","Private room",1,1,1,1,"Real Bed",29,0,,,,,,,,"https://www.airbnb.com/rooms/30458443","1"
30461008,"Sleeping over the roofs of Amsterdam!",20208597,"Apartment","Private room",1,1,1,1,"Real Bed",60,0,,,,,,,,"https://www.airbnb.com/rooms/30461008","1"
30462201,"Private room in spacious shared apartment",131316422,"Apartment","Private room",1,1,1,1,"Real Bed",50,0,,,,,,,,"https://www.airbnb.com/rooms/30462201","1"
30464823,"Canal Apartmant in Joordan",210545662,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",200,0,,,,,,,,"https://www.airbnb.com/rooms/30464823","3"
30490546,"Cozy house, only 7 minutes to the centre!",212222791,"Apartment","Private room",3,1,1,1,"Real Bed",45,0,,,,,,,,"https://www.airbnb.com/rooms/30490546","3"
30527314,"Cozy home in Amsterdam",38855365,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",87,0,,,,,,,,"https://www.airbnb.com/rooms/30527314","4"
432233,"Beautiful apartment @ true center",2144360,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",300,23,96,9,9,9,10,10,9,"https://www.airbnb.com/rooms/432233","4"
1076673,"Amsterdam Big Apartment near Centre",5357668,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",250,18,87,9,8,9,10,9,8,"https://www.airbnb.com/rooms/1076673","4"
3467229,"Spacious, charming, voted best location by locals!",17468921,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",130,8,85,9,7,9,10,9,9,"https://www.airbnb.com/rooms/3467229","3"
4466122,"Trendy appartment in A'dam east",22559698,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,3,93,9,7,9,10,9,9,"https://www.airbnb.com/rooms/4466122","4"
4648294,"Lovely room in shared apartment Amsterdam",24063989,"Apartment","Private room",1,1,1,1,"Real Bed",48,8,98,10,9,9,10,9,10,"https://www.airbnb.com/rooms/4648294","1"
5911915,"Light design apartment in hip area",11620521,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",98,23,94,10,10,9,10,9,8,"https://www.airbnb.com/rooms/5911915","3"
6365794,"Amazing apartment with roof terrace",17809972,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",133,12,89,10,8,9,10,9,9,"https://www.airbnb.com/rooms/6365794","3"
7718405,"Cosy, clean and beautiful shared apartment.",25023338,"Apartment","Private room",4,1,1,1,"Real Bed",140,2,90,9,10,9,10,8,9,"https://www.airbnb.com/rooms/7718405","4"
7720748,"Pretty apartment, lovely location",28347430,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",149,10,94,10,10,9,10,10,8,"https://www.airbnb.com/rooms/7720748","3"
7783100,"Lovely bedroom near Vondelpark",12636041,"Apartment","Private room",1,1,1,1,"Real Bed",40,16,95,9,8,9,10,10,9,"https://www.airbnb.com/rooms/7783100","1"
8624407,"Great location, bright, atmosphere!",18010257,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",115,20,92,9,9,9,10,8,9,"https://www.airbnb.com/rooms/8624407","4"
8767206,"Light and Quiet BoLo Apartment",13934198,"Apartment","Private room",4,1,1,1,"Real Bed",104,31,92,10,9,9,10,9,9,"https://www.airbnb.com/rooms/8767206","4"
9340964,"City center apartment with big garden",48479869,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",120,7,86,9,9,9,10,9,9,"https://www.airbnb.com/rooms/9340964","4"
9510439,"Spacious apartment in center",9243344,"Apartment","Private room",1,1,1,1,"Real Bed",75,3,100,10,10,9,10,10,10,"https://www.airbnb.com/rooms/9510439","1"
10536882,"""Het Kuipershuis"" NEW De PIJP RAI",13689090,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",95,16,94,10,10,9,10,10,9,"https://www.airbnb.com/rooms/10536882","4"
11607227,"Renovated sunny appartment in east",2887329,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",120,22,95,10,10,9,10,9,9,"https://www.airbnb.com/rooms/11607227","4"
11615049,"MODERN & STYLISH | NEAR CITY CENTER",1464510,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",105,13,94,9,9,9,10,10,9,"https://www.airbnb.com/rooms/11615049","3"
13177695,"Cozy flat in trendy De Pijp",73687196,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",149,2,80,8,10,8,10,10,8,"https://www.airbnb.com/rooms/13177695","3"
13280367,"Room in a big apartment with more options. 4Pax",30156443,"Apartment","Shared room",1,1,1,1,"Real Bed",55,21,94,10,10,9,10,9,9,"https://www.airbnb.com/rooms/13280367","1"
13661461,"HUGE TERRACE APT. IN AMSTERDAM NEXT TO VONDELPARK!",14183886,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",140,2,80,10,8,9,10,9,8,"https://www.airbnb.com/rooms/13661461","3"
13678506,"Home for singles/couple! A 3rd person is possible",79619999,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",35,12,95,10,10,9,10,9,9,"https://www.airbnb.com/rooms/13678506","3"
16405499,"Cozy room close to the Center",107481045,"Apartment","Private room",1,1,1,1,"Real Bed",55,28,95,10,10,9,10,9,9,"https://www.airbnb.com/rooms/16405499","1"
18668041,"Spacious Apartment is vibrant neighbourhood",55892903,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",49,20,99,10,10,9,10,9,10,"https://www.airbnb.com/rooms/18668041","4"
19728576,"Ground floor apartment with garden!",62369587,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",125,12,95,10,9,9,10,9,9,"https://www.airbnb.com/rooms/19728576","3"
19731250,"Luminous apartment with roof terrace",9162708,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",110,13,95,10,10,9,10,9,8,"https://www.airbnb.com/rooms/19731250","3"
20247164,"Cozy private room in Amsterdam",9062028,"Apartment","Private room",3,1,1,1,"Real Bed",75,4,95,9,10,9,10,9,9,"https://www.airbnb.com/rooms/20247164","3"
20288121,"Amsterdam - Single Room*",81947569,"Apartment","Private room",1,1,1,1,"Real Bed",80,1,100,10,10,8,10,10,10,"https://www.airbnb.com/rooms/20288121","1"
20878711,"Contemporary apartment Leidseplein (city center)",149926001,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",108,17,91,10,10,9,10,10,9,"https://www.airbnb.com/rooms/20878711","3"
21227618,"Little jungle in Bos en lommer",6071134,"Apartment","Private room",1,1,1,1,"Real Bed",95,17,94,10,9,9,10,9,9,"https://www.airbnb.com/rooms/21227618","1"
21319098,"Studio Apartment",13104104,"Apartment","Private room",1,1,1,1,"Real Bed",49,28,96,9,9,9,10,10,9,"https://www.airbnb.com/rooms/21319098","1"
21876028,"Cozy and stylish home in the center of Amsterdam!",19370323,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",120,16,89,9,10,9,10,9,9,"https://www.airbnb.com/rooms/21876028","3"
22028962,"Beautiful big cozy Appartment in Amsterdam",129258720,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",120,2,90,10,10,9,10,10,8,"https://www.airbnb.com/rooms/22028962","1"
22209675,"Cozy room in Amsterdam",162293141,"Apartment","Private room",1,1,1,1,"Real Bed",31,2,60,6,6,8,10,6,6,"https://www.airbnb.com/rooms/22209675","1"
22357688,"Private and spacious apartment",22725996,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",99,3,93,9,9,9,10,9,9,"https://www.airbnb.com/rooms/22357688","3"
22964616,"Bright, private room with double bed",3916478,"Apartment","Private room",1,1,1,1,"Real Bed",85,3,90,9,10,9,10,10,9,"https://www.airbnb.com/rooms/22964616","1"
24129116,"AmsteRoom",149797152,"Apartment","Private room",1,1,1,1,"Real Bed",65,3,87,8,9,9,10,7,9,"https://www.airbnb.com/rooms/24129116","1"
24395184,"Lovely, bright room in the best area of Amsterdam",184035231,"Apartment","Private room",1,1,1,1,"Real Bed",34,2,90,9,9,9,10,10,9,"https://www.airbnb.com/rooms/24395184","1"
26318493,"Designer appartment, very central",18672865,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",125,7,97,10,10,9,10,9,9,"https://www.airbnb.com/rooms/26318493","3"
27167007,"Central- big balcony- canal view- next to Heineken",201518898,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",250,5,96,8,8,9,10,9,8,"https://www.airbnb.com/rooms/27167007","4"
27179364,"COSY getaway for 2 NEXT to REMBRANDTPARK",65859990,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",86,4,95,10,10,8,10,10,10,"https://www.airbnb.com/rooms/27179364","3"
28248299,"Spacious, Luxurious Apartment - Amsterdam Centre",192424113,"Apartment","Private room",4,1,1,1,"Real Bed",225,3,100,9,10,9,10,10,10,"https://www.airbnb.com/rooms/28248299","4"
29943905,"Amazing Studio in the Center",21686664,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",129,1,80,6,6,6,10,10,6,"https://www.airbnb.com/rooms/29943905","4"
304189,"Smack dab middle of Amsterdam",1565512,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",155,79,94,9,9,10,10,10,9,"https://www.airbnb.com/rooms/304189","3"
867418,"Nice flat in the booming east with cat",4560570,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",80,64,90,9,8,10,10,8,9,"https://www.airbnb.com/rooms/867418","4"
1714964,"Sunny apartment + rooftop terrace near city centre",8982145,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",105,22,95,9,9,10,10,8,9,"https://www.airbnb.com/rooms/1714964","3"
