listing_id,street,neighbourhood,zipcode,city,state,country,latitude,longitude
12978761,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35777622,4.859515758
12982933,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36032295,4.857987332
13009213,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36109615,4.869045296
13137853,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36144742,4.863833509
13167841,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36061485,4.865962839
13170294,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36151677,4.861119342
13183417,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36326048,4.866070671
13229193,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36215836,4.86377401
13278847,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3609103,4.867860297
13303022,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36071022,4.861333453
13304336,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36088265,4.865536719
13312521,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36293961,4.866457329
13322294,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36004388,4.858389342
13323689,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36118241,4.85698386
13324165,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35958422,4.855766518
13324656,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36032383,4.857896224
13384250,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3659355,4.877211035
13410002,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3594653,4.864911544
13419687,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36139861,4.858312217
13464429,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36587888,4.877224599
13474868,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36213499,4.866155133
13511459,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36156029,4.858294789
13511560,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36074266,4.858658633
13519421,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36083047,4.861363281
13537254,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3612159,4.863893585
13595919,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36141849,4.870176211
13645896,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35880993,4.857154351
13661461,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36073162,4.858175131
13807605,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35988381,4.858085166
13863250,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36036819,4.86261546
13897477,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36101902,4.862959141
13919400,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35860864,4.859375877
14147419,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3618329,4.866272121
14166484,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3609357,4.86621912
14172232,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36063049,4.8655941
14207445,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36568881,4.876642325
14246597,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36052716,4.867838796
14250357,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36448534,4.867582449
14260961,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3581562,4.856397749
14292709,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36172427,4.864636921
